資料期別_std,year,quarter,餘屋_新北市,餘屋_台北市,餘屋_桃園市,餘屋_台中市,餘屋_台南市,餘屋_高雄市,重貼現率_pct,房貸餘額_季末,M2,電梯大廈_六都均價,台北市_單坪價格,新北市_單坪價格,桃園市_單坪價格,台中市_單坪價格,台南市_單坪價格,高雄市_單坪價格
2010Q1,2010,1,4150,2565,2643,2770,1835,4328,1.25,4867017,29543061.67,20.585,54.42,21.77,12.84,12.57,9.28,12.63
2010Q2,2010,2,5515,1353,4807,2151,1168,4612,1.291666667,4955960,29696129.33,19.87666667,51.88,21.09,12.56,11.95,10,11.78
2010Q3,2010,3,4653,1582,3895,1882,1375,4188,1.375,5010390,30058822,20.45333333,53.08,21.87,13.17,12.92,9.58,12.1
2010Q4,2010,4,6861,1981,3011,1949,1379,3438,1.541666667,5109256,30642821.67,20.68833333,53.13,22.12,13.8,13.63,9.11,12.34
2011Q1,2011,1,6830,2650,2738,2557,1478,3629,1.625,5167940,31349082,21.05666667,54.73,23.66,13.78,13.11,8.53,12.53
2011Q2,2011,2,5352,2277,2758,1927,1450,3589,1.75,5215561,31478856,20.97333333,54.05,24.04,13.73,13.29,8.5,12.23
2011Q3,2011,3,5107,2261,2250,1664,1645,3491,1.875,5245363,31840870,20.37,50.94,23.84,13.15,12.91,8.56,12.82
2011Q4,2011,4,4988,2285,2156,1445,1426,3707,1.875,5274015,32205345,21.25166667,54.23,24.19,13.59,12.96,9.19,13.35
2012Q1,2012,1,5684,2462,2620,1847,1813,4082,1.875,5250654,32938061.33,21.745,53.74,25.51,15.48,13.24,8.5,14
2012Q2,2012,2,5266,2201,1644,1957,1581,3409,1.875,5319714,32865701.67,23.00166667,56.68,26.84,16.19,14.29,8.97,15.04
2012Q3,2012,3,5279,2231,1407,2001,1659,3527,1.875,5373751,33056294,21.82166667,53.38,25.66,14.54,13.67,9.28,14.4
2012Q4,2012,4,5157,2218,1262,2244,1595,3676,1.875,5420331,33300325.67,22.18,53.05,26.59,14.66,14.27,9.64,14.87
2013Q1,2013,1,6834,2511,1954,2543,1736,4352,1.875,5430781,34090816,22.79,55.56,27.06,15.22,14.73,9.37,14.8
2013Q2,2013,2,6130,2618,2315,2749,1572,3393,1.875,5484047,34391181.33,23.975,58.67,28.35,16.35,15.32,9.5,15.66
2013Q3,2013,3,6108,2672,2395,2795,1826,3424,1.875,5545912,34919153,24.70666667,59.92,29.41,16.78,15.65,10.09,16.39
2013Q4,2013,4,6159,2639,2949,3124,1875,3789,1.875,5646766,35306114.67,25.80166667,62.22,30.91,18.15,16.58,10.45,16.5
2014Q1,2014,1,8237,3092,4017,3754,2251,4897,1.875,5678845,36114202,27.185,66.96,31.38,19.67,17.13,10.56,17.41
2014Q2,2014,2,8296,3101,3940,3695,2166,4829,1.875,5750655,36400057.33,27.78,67.61,32.27,20.2,17.58,11.43,17.59
2014Q3,2014,3,8335,3149,4272,4095,2225,5883,1.875,5807074,36824708.67,27.47,67.18,31.92,19.26,17.19,11.59,17.68
2014Q4,2014,4,8956,3190,4698,4057,2062,6722,1.875,5866996,37267896.33,27.25333333,64.02,31.7,20.25,18.12,11.49,17.94
2015Q1,2015,1,9963,3684,6111,5009,2817,8269,1.875,5879500,38407208,27.00333333,65.44,30.38,19.74,17.81,11.31,17.34
2015Q2,2015,2,11245,4143,7326,5861,2683,8719,1.875,5926706,38820854.67,26.66166667,63.48,31.44,19.19,17.36,11.35,17.15
2015Q3,2015,3,11487,4106,7505,6425,2387,8593,1.833333333,5977626,39123214,26.495,63.31,30.1,18.99,18,11.53,17.04
2015Q4,2015,4,12023,4016,7852,6677,3389,9262,1.708333333,6132276,39568128.67,25.98833333,58.73,30.39,19.08,18.42,11.86,17.45
2016Q1,2016,1,12739,4519,9361,7786,3418,10847,1.583333333,6123253,40356322,25.94333333,59.23,30.23,18.08,18.3,11.71,18.11
2016Q2,2016,2,12619,4743,11739,7857,3816,12211,1.5,6199631,40517935.33,25.95333333,58.6,29.31,18.97,18.58,11.58,18.68
2016Q3,2016,3,12506,4880,12730,7738,3816,12246,1.375,6276844,40809612.33,26.21,59.76,30.36,19.21,18.33,11.78,17.82
2016Q4,2016,4,14548,4878,12928,8125,3779,12558,1.375,6365163,41039012,26.34666667,60.84,29.58,18.62,17.98,13.22,17.84
2017Q1,2017,1,13886,4824,13989,8538,4035,12485,1.375,6398313,41780392.67,25.81166667,58.08,28.86,18.93,18.8,12.87,17.33
2017Q2,2017,2,14060,4969,13531,8684,4167,12058,1.375,6483057,41986678,25.605,56.84,28.45,19.2,18.6,12.88,17.66
2017Q3,2017,3,13571,5195,13159,8396,4062,11635,1.375,6556400,42249889.67,26.37,60.06,30.63,18.51,18.52,13.21,17.29
2017Q4,2017,4,13783,5612,13558,8841,4186,11180,1.375,6647782,42592270.67,26.48666667,60.54,31.3,18.55,18.5,12.85,17.18
2018Q1,2018,1,15048,5135,13515,8847,5118,11406,1.375,6699705,43216057.33,26.85,62.09,31.28,18.98,18.57,13.3,16.88
2018Q2,2018,2,17087,5066,12623,8837,5270,11343,1.375,6784321,43559414.33,26.73166667,61.61,31.14,18.85,18.6,13.82,16.37
2018Q3,2018,3,16228,4999,12408,8956,4969,11115,1.375,6870590,43692633,26.595,60.61,30.92,18.23,18.98,13.65,17.18
2018Q4,2018,4,15500,5415,12165,8260,4562,10694,1.375,6977419,43857182.67,27.1,60.96,30.71,20.03,19.86,13.99,17.05
2019Q1,2019,1,16272,5287,12651,9132,5448,10990,1.375,7025838,44613658.33,26.91,59.97,30.84,19.13,19.5,14.32,17.7
2019Q2,2019,2,15857,5266,12106,9367,5338,10289,1.375,7143222,45027038.33,27.58833333,61.73,31.46,19.81,19.78,15.09,17.66
